Tamaño Matriz, Tiempo Fila, Tiempo Columna
0x0, 0, 0
0x50, 0, 0
0x100, 0, 0
0x150, 0, 0
0x200, 0, 0
0x250, 0, 0
0x300, 0, 0
0x350, 0, 0
0x400, 0, 0
0x450, 0, 0
0x500, 0, 0
0x550, 0, 0
0x600, 0, 0
0x650, 0, 0
0x700, 0, 0
0x750, 0, 0
0x800, 0, 0
0x850, 0, 0
0x900, 0, 0
0x950, 0, 0
50x0, 0, 0
50x50, 1, 1
50x100, 3, 3
50x150, 3, 3
50x200, 4, 4
50x250, 6, 6
50x300, 7, 7
50x350, 9, 9
50x400, 10, 10
50x450, 11, 11
50x500, 12, 12
50x550, 13, 13
50x600, 14, 15
50x650, 15, 16
50x700, 17, 17
50x750, 18, 18
50x800, 19, 19
50x850, 20, 21
50x900, 21, 22
50x950, 23, 24
100x0, 0, 0
100x50, 4, 4
100x100, 9, 9
100x150, 14, 14
100x200, 19, 19
100x250, 24, 24
100x300, 29, 29
100x350, 34, 34
100x400, 39, 39
100x450, 45, 44
100x500, 50, 49
100x550, 55, 54
100x600, 60, 58
100x650, 68, 65
100x700, 78, 69
100x750, 75, 73
100x800, 79, 82
100x850, 87, 83
100x900, 92, 89
100x950, 93, 92
150x0, 0, 0
150x50, 11, 10
150x100, 21, 21
150x150, 33, 32
150x200, 44, 44
150x250, 54, 54
150x300, 66, 65
150x350, 78, 77
150x400, 92, 87
150x450, 103, 100
150x500, 113, 110
150x550, 125, 120
150x600, 140, 133
150x650, 148, 144
150x700, 158, 152
150x750, 169, 165
150x800, 181, 179
150x850, 192, 199
150x900, 206, 198
150x950, 214, 236
200x0, 0, 0
200x50, 21, 19
200x100, 38, 39
200x150, 62, 60
200x200, 79, 79
200x250, 99, 98
200x300, 120, 117
200x350, 142, 136
200x400, 163, 161
200x450, 184, 183
200x500, 204, 198
200x550, 224, 217
200x600, 251, 242
200x650, 265, 254
200x700, 284, 275
200x750, 303, 293
200x800, 321, 313
200x850, 342, 335
200x900, 361, 354
200x950, 387, 374
250x0, 0, 0
250x50, 30, 30
250x100, 62, 62
250x150, 91, 90
250x200, 123, 124
250x250, 155, 154
250x300, 190, 186
250x350, 225, 217
250x400, 255, 248
250x450, 331, 286
250x500, 336, 315
250x550, 352, 340
250x600, 384, 370
250x650, 416, 397
250x700, 444, 430
250x750, 476, 463
250x800, 525, 500
250x850, 536, 523
250x900, 572, 552
250x950, 598, 583
300x0, 0, 0
300x50, 44, 43
300x100, 88, 87
300x150, 135, 132
300x200, 193, 193
300x250, 233, 231
300x300, 275, 266
300x350, 336, 327
300x400, 381, 367
300x450, 424, 403
